,consumer_sentiment,federal_funds_rate,bbkmgdp,labor_force_participation_rate,m2,yield_10_year,mortgage_30_year,msci,savings_rate,sp500_monthly_open,sp500_monthly_high,sp500_monthly_low,close ,sp500_monthly_volume,sp500_pe_ratio,vehicle_sales,unemployment_rate,percent_change
0,97.4,5.25,0.2846622327877792,67.0,3834.6,6.5790476190476195,7.824,102815.40767194922,5.9,740.74,794.67,729.55,786.16,11635830000.0,19.53,15.682,5.3,6.131706131706127
1,99.7,5.19,4.986687417720908,66.9,3846.3,6.419473684210526,7.65,103978.69965881192,6.0,786.16,817.68,773.43,790.82,9715930000.0,20.09,15.271,5.2,0.5927546555408725
2,100.0,5.39,6.322836824887784,67.1,3861.2,6.6945,7.8975,101902.55412773826,6.1,790.82,814.9,756.13,757.12,10120760000.0,19.69,15.816,5.2,-4.261399559950441
3,101.4,5.51,7.677815235719788,67.1,3877.0,6.885454545454546,8.1425,105214.05567424509,6.2,757.12,804.13,733.54,801.34,10454880000.0,18.94,15.058,5.1,5.840553677092153
4,103.2,5.5,6.596758541075028,67.1,3889.2,6.710952380952381,7.944,111689.04052804438,6.5,801.34,851.87,793.21,848.28,10106650000.0,20.6,15.088,4.9,5.857688371976932
5,104.5,5.56,5.580402069098788,67.1,3906.0,6.493809523809524,7.69,117240.39412008545,6.3,848.28,902.09,838.82,885.14,10857950000.0,21.61,14.524,5.0,4.345263356438922
6,107.1,5.52,5.322193384951312,67.2,3923.9,6.220454545454546,7.4975,122620.96234176208,5.8,885.14,957.73,884.54,954.31,11958120000.0,22.8,15.568,4.9,7.814583003818609
7,104.4,5.54,3.662568956111623,67.2,3957.4,6.298571428571429,7.48,114398.90309620228,5.7,954.29,964.17,893.34,899.47,10606100000.0,22.83,16.148,4.8,-5.746560342027218
8,106.0,5.54,3.62416106077679,67.1,3973.1,6.208571428571429,7.43,120594.56012244508,5.9,899.47,960.59,899.47,947.28,11383000000.0,23.06,15.096,4.9,5.315352374175908
9,105.6,5.5,2.909689396552644,67.1,3992.3,6.029545454545455,7.294,114228.0539523612,5.9,947.28,983.12,855.27,914.62,14017260000.0,23.58,15.431,4.7,-3.4477662359597927
10,107.2,5.52,3.699600293217117,67.2,4014.8,5.875,7.205,116229.96715665954,6.1,914.62,964.55,900.61,955.4,10173620000.0,23.46,15.825,4.6,4.458682294286143
11,102.1,5.5,3.573636147262035,67.2,4032.9,5.808636363636364,7.095,117627.0527087784,6.1,955.4,986.25,924.92,970.43,11958880000.0,24.23,16.474,4.7,1.5731630730583923
12,106.6,5.56,4.209269468237968,67.1,4056.2,5.5445,6.994,120885.55849622142,7.0,970.43,992.65,912.83,980.28,12733830000.0,24.29,14.789,4.6,1.0150139628824384
13,110.4,5.51,4.593407847800757,67.1,4088.9,5.574736842105263,7.0425,129043.206530404,7.0,980.28,1051.66,980.28,1049.34,11656550000.0,25.85,15.232,4.6,7.04492593952748
14,106.5,5.49,3.2801337508924804,67.1,4114.3,5.647272727272727,7.1275,134472.43391473484,7.1,1049.34,1113.07,1030.87,1101.75,13719590000.0,27.23,15.405,4.7,4.994568014180345
15,108.7,5.45,3.434017122877945,67.0,4140.2,5.637619047619048,7.14,135766.333981697,6.9,1101.75,1132.98,1076.7,1111.75,13656060000.0,28.26,15.923,4.3,0.9076469253460395
16,106.5,5.49,4.344182654008677,67.0,4164.4,5.6525,7.144,134044.57766015115,6.6,1111.75,1130.52,1074.39,1090.82,11477140000.0,28.3,17.057,4.4,-1.8826174949404195
17,105.6,5.56,3.028326822314018,67.0,4184.1,5.496363636363637,6.9975,137205.44625490258,6.5,1090.82,1145.15,1074.67,1133.84,13551970000.0,28.44,16.771,4.5,3.9438220788031053
18,105.2,5.54,4.006611843096226,67.0,4203.8,5.461363636363637,6.952,136964.9564746022,6.6,1133.84,1190.58,1114.3,1120.67,14194800000.0,29.9,14.668,4.5,-1.1615395470260248
19,104.4,5.55,8.000555472668651,67.0,4228.7,5.341904761904762,6.9225,118679.76148719748,6.5,1120.67,1121.79,957.28,957.28,15071550000.0,28.0,14.796,4.5,-14.579671089616042
20,100.9,5.51,6.641411957028244,67.2,4267.7,4.806666666666667,6.7225,120758.33041038227,6.1,957.28,1066.11,939.98,1017.01,16714080000.0,26.8,16.313,4.6,6.239553735584158
21,97.4,5.07,7.246160898008648,67.2,4307.9,4.53,6.71,131654.1564363381,5.9,1017.01,1103.78,923.32,1098.67,18001650000.0,27.2,17.131,4.5,8.029419573062224
22,102.7,4.83,5.076341120399409,67.1,4346.6,4.827368421052632,6.865,139462.8997799815,6.0,1098.67,1192.97,1098.67,1163.63,13451280000.0,30.25,16.118,4.4,5.912603420499329
23,100.5,4.68,4.290237677359676,67.2,4375.6,4.645,6.738,146255.15767992093,5.5,1163.63,1244.93,1136.89,1229.23,15181450000.0,31.56,17.409,4.4,5.6375308302467175
24,103.9,4.63,3.106074873687337,67.2,4403.0,4.7221052631578955,6.785,149436.4337871879,6.1,1229.23,1280.37,1205.46,1279.64,16213500000.0,32.92,16.593,4.3,4.100941239637823
25,108.1,4.76,4.1515357341197365,67.2,4425.8,4.998947368421053,6.8075,145440.0051018781,6.0,1279.64,1283.84,1211.89,1238.33,14555860000.0,32.67,17.097,4.4,-3.2282516957894525
26,105.7,4.81,2.376257997855662,67.0,4432.6,5.232608695652174,7.04,151474.3152322949,5.6,1238.33,1323.82,1216.03,1286.37,18002500000.0,33.39,16.832,4.2,3.8794182487705164
27,104.6,4.74,2.807535192373001,67.1,4461.4,5.1845454545454555,6.916,157424.38060010842,4.7,1286.37,1371.56,1282.56,1335.18,18523200000.0,34.0,16.929,4.3,3.7943981902563095
